Year,Game,Screenshot,Palette
2025,"I Have No Mouth, and I Must Scream",screenshots\qukvaaxiob99mbjdvjrh.jpg,"[(14, 13, 11), (60, 39, 26), (94, 72, 57), (38, 31, 23), (26, 37, 31), (36, 43, 44), (37, 52, 43), (75, 76, 69), (68, 68, 76)]"
2025,"I Have No Mouth, and I Must Scream",screenshots\q5sv216giyzdqa32i7wt.jpg,"[(223, 211, 171), (96, 58, 28), (10, 5, 4), (156, 93, 42), (54, 23, 8), (130, 121, 108), (132, 132, 110), (66, 59, 52), (68, 68, 58)]"
2025,"I Have No Mouth, and I Must Scream",screenshots\xhgplr0hmxf0pkccug2o.jpg,"[(171, 158, 125), (17, 13, 8), (102, 82, 51), (83, 182, 107), (36, 87, 79), (61, 41, 21), (20, 59, 77), (85, 109, 136), (157, 44, 58)]"
2025,"I Have No Mouth, and I Must Scream",screenshots\diqfhw4ie7sc4s5hk63s.jpg,"[(71, 44, 41), (191, 157, 66), (22, 24, 18), (139, 107, 53), (103, 81, 39), (160, 151, 64), (111, 103, 41), (106, 73, 85), (111, 124, 128)]"
2025,Hellblade: Senua's Sacrifice,screenshots\lba0mnzzwo0cqv6xrmdg.jpg,"[(189, 184, 201), (39, 36, 35), (133, 129, 148), (158, 152, 175), (113, 109, 128), (96, 93, 106), (80, 78, 91), (164, 164, 182), (110, 109, 111)]"
2025,Hellblade: Senua's Sacrifice,screenshots\qlkznn24xndeh1zalz5r.jpg,"[(32, 27, 30), (155, 113, 99), (105, 76, 69), (54, 52, 54), (74, 53, 48), (72, 64, 68), (115, 99, 100), (123, 108, 100), (83, 76, 73)]"
2025,Hellblade: Senua's Sacrifice,screenshots\jqmcaf5bdwgihmvo1k6z.jpg,"[(98, 48, 32), (222, 181, 135), (35, 16, 18), (177, 117, 83), (163, 87, 61), (185, 158, 115), (137, 133, 154), (196, 92, 36), (124, 100, 104)]"
2025,Hellblade: Senua's Sacrifice,screenshots\vsiwndxe6pb9mwicy6ud.jpg,"[(226, 199, 165), (48, 50, 56), (149, 121, 111), (109, 88, 84), (103, 105, 119), (119, 117, 126), (171, 156, 145), (161, 147, 156), (190, 92, 48)]"
2025,Hellblade: Senua's Sacrifice,screenshots\wdhsjdc4ek2pwshris2s.jpg,"[(190, 148, 84), (103, 52, 18), (10, 4, 4), (55, 21, 10), (144, 58, 6), (125, 140, 118), (62, 74, 68), (80, 104, 145), (23, 43, 83)]"
2025,Defender's Quest 2: Mists of Ruin,screenshots\mmzibdumo78yn2y2keoe.jpg,"[(223, 223, 223), (45, 45, 45), (124, 124, 124), (84, 84, 84), (92, 92, 92), (100, 100, 100), (169, 169, 169), (148, 148, 148), (156, 156, 156)]"
2025,Defender's Quest 2: Mists of Ruin,screenshots\b7xwznafefoipgheheu4.jpg,"[(222, 222, 222), (88, 88, 88), (118, 118, 118), (54, 54, 54), (76, 76, 76), (100, 100, 100), (143, 143, 143), (168, 171, 168), (156, 156, 156)]"
2025,Defender's Quest 2: Mists of Ruin,screenshots\hz34up4ttj264xw8abz3.jpg,"[(122, 123, 124), (31, 31, 36), (104, 175, 213), (205, 189, 146), (80, 38, 37), (171, 147, 102), (119, 83, 40), (176, 196, 186), (130, 164, 174)]"
2025,Defender's Quest 2: Mists of Ruin,screenshots\x44wuwgmwbuila505fza.jpg,"[(227, 227, 227), (59, 59, 59), (133, 133, 133), (100, 100, 100), (92, 92, 92), (108, 108, 108), (156, 156, 156), (175, 178, 175), (164, 166, 164)]"
2025,Defender's Quest 2: Mists of Ruin,screenshots\ptktflohy9fnsmfsubgj.jpg,"[(220, 220, 218), (94, 82, 68), (100, 100, 100), (159, 141, 117), (148, 148, 148), (190, 148, 65), (186, 175, 156), (132, 106, 96), (172, 154, 146)]"
2025,Routine,screenshots\cchl6jxhoj4uqsyvmkxm.jpg,"[(41, 28, 31), (190, 111, 113), (113, 91, 81), (82, 72, 64), (88, 95, 96), (64, 63, 61), (136, 155, 167), (77, 81, 96), (119, 127, 156)]"
2025,Routine,screenshots\czx4seanxcmy5cupts4y.jpg,"[(101, 108, 111), (211, 211, 212), (162, 198, 196), (66, 61, 46), (151, 171, 195), (154, 158, 154), (136, 157, 165), (54, 43, 48), (23, 29, 31)]"
2025,Routine,screenshots\iq5ylqhtfmaesdvh3jd5.jpg,"[(22, 28, 44), (170, 140, 152), (102, 103, 120), (88, 77, 88), (100, 96, 95), (56, 63, 89), (64, 63, 70), (112, 124, 161), (121, 158, 191)]"
2025,Routine,screenshots\o4dxiij8l8iij9hulgte.jpg,"[(39, 27, 35), (208, 202, 187), (54, 62, 111), (67, 85, 172), (72, 66, 63), (127, 160, 203), (105, 97, 91), (57, 61, 59), (58, 95, 125)]"
2025,Routine,screenshots\iwkrmeamthuohpnlds4a.jpg,"[(43, 44, 43), (228, 193, 182), (108, 88, 89), (83, 78, 94), (80, 75, 79), (101, 95, 174), (137, 167, 194), (67, 76, 80), (81, 101, 93)]"
2025,Monster Bash,screenshots\zfsghyksujugweusra6j.jpg,"[(177, 105, 77), (31, 170, 44), (57, 123, 61), (99, 79, 67), (12, 9, 9), (209, 221, 205), (68, 78, 83), (73, 95, 191), (54, 64, 51)]"
2025,Monster Bash,screenshots\sc960p.jpg,"[(201, 145, 135), (49, 179, 54), (100, 76, 71), (7, 7, 6), (174, 16, 16), (108, 108, 164), (54, 102, 56), (54, 37, 34), (56, 56, 77)]"
